Username,Review Date,Review,Country,Date,Cleaned_Review
Ananya C,Reviewed in India on 16 August 2022,This is as a good processor but this processor requires separate graphics card. Without graphics card there will be no display.,India,16 August 2022,good processor processor require separate graphic card without graphic card display
ROHIT CHAUHAN,Reviewed in India on 9 February 2023,Sexy processor i3 10100F beat i7 9generation,India,9 February 2023,sexy processor f beat generation
Akshath Mada,Reviewed in India on 10 July 2021,"If you are buying this processor you need to have external graphics card , it doesn't have inbuilt VGA output...u need to spend extra on a external graphics card. Better go for 10100, the one without F...",India,10 July 2021,buying processor need external graphic card inbuilt vga output u need spend extra external graphic card well go one without f
i3 10th generation,Reviewed in India on 7 May 2024,Maine i3 10th gen 10100f order kiya tha lekin aya 10105f my money loss ..😭😭.. return policy kam nahi kar raha hai 😭,India,7 May 2024,maine th gen f order kiya tha lekin aya f money loss return policy kam nahi kar raha hai
dpsingh,Reviewed in India on 14 September 2022,This processor is very nice and vey cheap,India,14 September 2022,processor nice vey cheap
Guramrit Singh,Reviewed in India on 2 November 2023,i bought 2 of these and its good for entry level gaming but not for the stuff i wanted to do unfortunately so the cpu and motherboard i bought are waste for me gotta get 100mb l3 cache cpu 6cores. overall okay cpu i3!,India,2 November 2023,bought good entry level game stuff want unfortunately cpu motherboard bought waste get ta get mb l cache cpu core overall okay cpu
Muthuselvam,Reviewed in India on 3 March 2022,"This processor is not having internal GPU, hence if we don't have the external graphics card installed to the system, system won't boot. Please be informed with this information, I bought it without knowing this information and QA feedback shows it doesn't required additional graphics card. Don't get fooled with question and answers feedback.",India,3 March 2022,processor internal gpu hence external graphic card instal system system boot please inform information bought without know information qa feedback show require additional graphic card get fool question answer feedback
NEHRU  VM,Reviewed in India on 1 November 2023,"Performance , Quality, Speed ,Value for Money  is  Good",India,1 November 2023,performance quality speed value money good
Placeholder,Reviewed in India on 20 October 2023,mast hai bhai le lo working is good.,India,20 October 2023,mast hai bhai le lo work good
Raja,Reviewed in India on 4 June 2023,Better than 10th gen I5 10600.What fo you ask for?Motherboards are really pricey now a days.,India,4 June 2023,well th gen fo ask motherboards really pricey day
Shivashankar,Reviewed in India on 21 October 2022,"Those who are looking for budget processor for 'basic use' , they can go for it. This processor is perfect for them.  simply don't waste your money on high end processor , which may not required for your work.",India,21 October 2022,look budget processor basic use go processor perfect simply waste money high end processor may require work
lalit,Reviewed in India on 28 June 2023,Working fine,India,28 June 2023,work fine
Chakradhar,Reviewed in India on 11 September 2022,This processor can run gta 5 at 29-30 fps with 8gb Ram and no graphics card!,India,11 September 2022,processor run gta fps gb ram graphic card
Kavin Raj,Reviewed in India on 23 January 2024,Once it delivered... I unboxed the processor it has a broken blade...,India,23 January 2024,deliver unboxed processor broken blade
Hiran K,Reviewed in India on 22 June 2022,affordable gaming CPU.marginal performance improvementcompare 12100 with asus h610 & 16gb 3000mhz ram to my i3 3570 3rd gen with B75 motherboard & 8gb 1600mhz ram on PUBG 10-20 fps increase.( crucial SSD and 1660 graphic card)but smooth no lagwill install windows11 and seebetter get 12400 or 12600 for gamingor wait 13th gen i5,India,22 June 2022,affordable game cpu marginal performance improvementcompare asus h gb mhz ram rd gen b motherboard gb mhz ram pubg fps increase crucial ssd graphic card smooth lagwill install window seebetter get gamingor wait th gen
Amazon Customer,Reviewed in India on 14 September 2023,"Can't launch even a small game, hangs all the time.  But it's with graphics processor but graphics doesn't work properly.  It is with graphics processor in name only.",India,14 September 2023,launch even small game hang time graphic processor graphic work properly graphic processor name
dolcegra,Reviewed in Italy on 22 January 2024,"PROCESSORE TRANQUILLO PER UFFICIO.CON UNA POTENZA BASE DI 6OW E TURBO DI 89W LA CPU E' SILENZIOSA.E' OVVIO CHE SE LA SI FA' ANDARE AL 100 PER CENTO IN MULTY CORE LA VENTOLINA STOCK UN PO' SI SENTE  MA ,A MIO AVVISO ,ACCETTABILE.CON CINEBENCH 2024 HO RAGGIUNTO 60 GRADI MAX CON UN CASE HTPC(AIR FLOW NON ECCEZIONALE)E DIREI OTTIMO!POSSIBILITA' DI USARE DDR5 FINO 4800MHZ.CONCLUSIONE:PROMOSSO A PIENI VOTI.",Italy,22 January 2024,quiet processor office base power ow turbo w cpu silent obvious make go percent multy core stock fan little feel mineacceptable notice cinebench reach degree max htpc case exceptional air flow would say excellent
Product kharap hai. On nhi ho raha. Or return nhi ho raha. Warrenty vi nhi de raha ye lok. Ye product kharap h kharid na mat. dur raho sob isse,Reviewed in India on 15 October 2023,Good product,India,15 October 2023,good product
Mohit Solanki,Reviewed in India on 14 February 2022,The most important thing is to notice that in this 10100F model needs an external graphics card. That makes it a costly processor.,India,14 February 2022,important thing notice f model need external graphic card make costly processor
Ratheesh Kumar kp,Reviewed in India on 3 October 2023,Kerala Kozhikode,India,3 October 2023,kerala kozhikode
Ananya C,Reviewed in India on 16 August 2022,This is as a good processor but this processor requires separate graphics card. Without graphics card there will be no display.,India,16 August 2022,good processor processor require separate graphic card without graphic card display
ROHIT CHAUHAN,Reviewed in India on 9 February 2023,Sexy processor i3 10100F beat i7 9generation,India,9 February 2023,sexy processor f beat generation
Akshath Mada,Reviewed in India on 10 July 2021,"If you are buying this processor you need to have external graphics card , it doesn't have inbuilt VGA output...u need to spend extra on a external graphics card. Better go for 10100, the one without F...",India,10 July 2021,buying processor need external graphic card inbuilt vga output u need spend extra external graphic card well go one without f
i3 10th generation,Reviewed in India on 7 May 2024,Maine i3 10th gen 10100f order kiya tha lekin aya 10105f my money loss ..😭😭.. return policy kam nahi kar raha hai 😭,India,7 May 2024,maine th gen f order kiya tha lekin aya f money loss return policy kam nahi kar raha hai
dpsingh,Reviewed in India on 14 September 2022,This processor is very nice and vey cheap,India,14 September 2022,processor nice vey cheap
Guramrit Singh,Reviewed in India on 2 November 2023,i bought 2 of these and its good for entry level gaming but not for the stuff i wanted to do unfortunately so the cpu and motherboard i bought are waste for me gotta get 100mb l3 cache cpu 6cores. overall okay cpu i3!,India,2 November 2023,bought good entry level game stuff want unfortunately cpu motherboard bought waste get ta get mb l cache cpu core overall okay cpu
Muthuselvam,Reviewed in India on 3 March 2022,"This processor is not having internal GPU, hence if we don't have the external graphics card installed to the system, system won't boot. Please be informed with this information, I bought it without knowing this information and QA feedback shows it doesn't required additional graphics card. Don't get fooled with question and answers feedback.",India,3 March 2022,processor internal gpu hence external graphic card instal system system boot please inform information bought without know information qa feedback show require additional graphic card get fool question answer feedback
NEHRU  VM,Reviewed in India on 1 November 2023,"Performance , Quality, Speed ,Value for Money  is  Good",India,1 November 2023,performance quality speed value money good
Placeholder,Reviewed in India on 20 October 2023,mast hai bhai le lo working is good.,India,20 October 2023,mast hai bhai le lo work good
Raja,Reviewed in India on 4 June 2023,Better than 10th gen I5 10600.What fo you ask for?Motherboards are really pricey now a days.,India,4 June 2023,well th gen fo ask motherboards really pricey day
Shivashankar,Reviewed in India on 21 October 2022,"Those who are looking for budget processor for 'basic use' , they can go for it. This processor is perfect for them.  simply don't waste your money on high end processor , which may not required for your work.",India,21 October 2022,look budget processor basic use go processor perfect simply waste money high end processor may require work
lalit,Reviewed in India on 28 June 2023,Working fine,India,28 June 2023,work fine
Chakradhar,Reviewed in India on 11 September 2022,This processor can run gta 5 at 29-30 fps with 8gb Ram and no graphics card!,India,11 September 2022,processor run gta fps gb ram graphic card
Kavin Raj,Reviewed in India on 23 January 2024,Once it delivered... I unboxed the processor it has a broken blade...,India,23 January 2024,deliver unboxed processor broken blade
Hiran K,Reviewed in India on 22 June 2022,affordable gaming CPU.marginal performance improvementcompare 12100 with asus h610 & 16gb 3000mhz ram to my i3 3570 3rd gen with B75 motherboard & 8gb 1600mhz ram on PUBG 10-20 fps increase.( crucial SSD and 1660 graphic card)but smooth no lagwill install windows11 and seebetter get 12400 or 12600 for gamingor wait 13th gen i5,India,22 June 2022,affordable game cpu marginal performance improvementcompare asus h gb mhz ram rd gen b motherboard gb mhz ram pubg fps increase crucial ssd graphic card smooth lagwill install window seebetter get gamingor wait th gen
Amazon Customer,Reviewed in India on 14 September 2023,"Can't launch even a small game, hangs all the time.  But it's with graphics processor but graphics doesn't work properly.  It is with graphics processor in name only.",India,14 September 2023,launch even small game hang time graphic processor graphic work properly graphic processor name
dolcegra,Reviewed in Italy on 22 January 2024,"PROCESSORE TRANQUILLO PER UFFICIO.CON UNA POTENZA BASE DI 6OW E TURBO DI 89W LA CPU E' SILENZIOSA.E' OVVIO CHE SE LA SI FA' ANDARE AL 100 PER CENTO IN MULTY CORE LA VENTOLINA STOCK UN PO' SI SENTE  MA ,A MIO AVVISO ,ACCETTABILE.CON CINEBENCH 2024 HO RAGGIUNTO 60 GRADI MAX CON UN CASE HTPC(AIR FLOW NON ECCEZIONALE)E DIREI OTTIMO!POSSIBILITA' DI USARE DDR5 FINO 4800MHZ.CONCLUSIONE:PROMOSSO A PIENI VOTI.",Italy,22 January 2024,quiet processor office base power ow turbo w cpu silent obvious make go percent multy core stock fan little feel mineacceptable notice cinebench reach degree max htpc case exceptional air flow would say excellent
Awaddd,Reviewed in the United Kingdom on 27 April 2024,Really good and can basically run any game I throw at it.(Paired with a 1650 Ventus,the United Kingdom,27 April 2024,really good basically run game throw pair ventus
Kristopher K.,Reviewed in Germany on 31 March 2023,"Dieser Prozessor hat sich als eine gute Wahl für meinen Low-Budget-PC herausgestellt. Er bietet ausreichend Leistung für alltägliche Aufgaben wie Surfen im Internet und Bearbeiten von Dokumenten. Auch einfache Spiele laufen problemlos. Der Turbo-Boost sorgt für zusätzliche Power, wenn sie benötigt wird. Der Preis ist im Vergleich zu höheren Modellen sehr erschwinglich. Ich bin mit dem Intel Core i3-10105F sehr zufrieden und würde ihn jedem empfehlen, der einen kostengünstigen PC bauen möchte.Mein Patenkind konnte Fortnite problemlos auf meinem Low-Budget-PC mit dem Intel Core i3-10105F und einer RTX 2070 Super spielen. Natürlich gibt es Grenzen für komplexe Anwendungen und Spiele, aber für alltägliche Aufgaben und einfache Spiele ist dieser Prozessor vollkommen ausreichend. Die Installation war einfach und die Leistung ist stabil. Wenn man bedenkt, dass es eine preisgünstige Option für einen Prozessor der 10. Generation ist, bin ich sehr zufrieden damit.",Germany,31 March 2023,processor turn good choice low budget pc offer sufficient performance everyday task surf internet edit document even simple game run smoothly turbo boost ensures additional power need price affordable compare high model satisfied intel core f would recommend anyone want build inexpensive pc fortnite able easily play low budget pc intel core f rtx course limit complex application game processor completely sufficient everyday task simple game installation easy power stable consider inexpensive option th generation processor satisfied
Lorenzo Ruiz,Reviewed in Australia on 16 November 2021,"Was tired of salvaging old pc parts, just not reliable long term esp. if you have important files. Future proofed myself for the next few years with this intel i3 10th gen comet lake refresh cpu. See 3rd picture for benchmark. Happy with purchase!",Australia,16 November 2021,tire salvage old pc part reliable long term esp important file future proofed next year intel th gen comet lake refresh cpu see rd picture benchmark happy purchase
Raoul,Reviewed in Mexico on 18 May 2022,Increible funciona de maravilla junto con 16gb de ram TEAMGROUP T-Force Vulcan Z DDR4 y una Asus TUF-GTX1650-O4GD6-P-GAMING todo en una Asus Prime H510M-E INCREIBLE corre desde Escape from Tarkov hasta Elden Ring lo recomiendo mucho,Mexico,18 May 2022,incredible work wonderfully along gb ram teamgroup force vulcan z ddr asus tuf gtx gd p game everything asus prime
SeFra,Reviewed in Italy on 25 November 2022,"Lasciate perdere commenti o recensioni di gente che capisce poco di informatica...questo non è un semplice processore SOLO da ufficio o internet, è un gran bel processore con un prezzo incredibile...non esiste nessun processore sotto i 130 euro che lontanamente si avvicini alle sue prestazioni..abbinatelo ad una buona scheda video e vi darà grandi soddisfazioni anche in game. Ottima la stabilità. Lo consiglio.",Italy,25 November 2022,forget comment review people understand little computer science simple processor office internet great processor incredible price processor euro canapproach performance abandon good video card give great satisfaction even game excellent stability advise
Bruno wescley de castro Miranda,Reviewed in Brazil on 20 January 2023,"Ótimo processador custo benefício, tinha um i7 da terceira geração e esse mesmo sendo i3 é superior aos top das linhas passadas, meus jogos melhoraram bastante com minha GTX 1660",Brazil,20 January 2023,great cost benefit processor third generation superior top line game improve lot gtx
C. M.,Reviewed in France on 27 May 2023,"Bon marché et efficace pour une utilisation basique, génération plus âgée.",France,27 May 2023,inexpensive efficient basic use old generation
Kuba,Reviewed in the Netherlands on 2 October 2023,Waar is mijn geld!!! Ik wacht 4 weeken op,the Netherlands,2 October 2023,money wait weekend
Gabriel Vilas,Reviewed in Spain on 19 September 2023,Por el precio que tiene es el mejor procesador del mercado para un uso normal o gaming básico.El procesador con el disipador de serie funciona sin problemas y no veo necesario buscar otra solución de refrigeración a no ser que se quiera hacer un uso realmente intenso y en tal caso un disipador de 20/30€ te hace el apaño y más.,Spain,19 September 2023,price best market processor normal use basic game processor standard dissipator work without problem see necessary look another cool solution unless want make really intense use andin case dissipator make apa
Feng Yang,Reviewed in the United Kingdom on 20 September 2021,"Too good to not not-leave a review. Got it £75, each core cost only £19. played a set of games, Performance is close to I5 10400F. very happy with it. it is cool and quite, the MAX temperature I have is about 55c with a budget cooler master cooler.",the United Kingdom,20 September 2021,good leave review get core cost played set game performance close f happy cool quite max temperature c budget cooler master cooler
ARUN,Reviewed in India on 24 April 2024,The processor was very power efficient i develop android apps and web development and for this the processor was beast and I do some little gaming with rx580 which combination was superb  with 5400mhz ddr5 memory 1 tb ssd . . .,India,24 April 2024,processor power efficient develop android apps web development processor beast little game rx combination superb mhz ddr memory tb ssd
Ayush,Reviewed in India on 14 May 2024,Try to get it under 10k and check the rankings in details sections before buying anything,India,14 May 2024,try get k check ranking detail section buying anything
Hruaia,Reviewed in India on 24 March 2024,"I upgrade from 9400f. The performance gain is a huge. I use cooler master hyper 212 with this and my cbinet have 3 intake 2 exhaust fan, Temp never cross 60°c even when full load stress test. The efficiency of this processor is incredible runs below 1.2 volt. It never reach 1.2v even when doing Multi core stress test.If you're building mid range PC for gaming purpose this is the cpu you should consider. At this price point there's nothing that can beat this processor.",India,24 March 2024,upgrade f performance gain huge use cooler master hyper cbinet intake exhaust fan temp never cross c even full load stress test efficiency processor incredible run volt never reach v even multi core stress test building mid range pc game purpose cpu consider price point nothing beat processor
Yavvari,Reviewed in India on 18 February 2024,"This will not work without graphic card, So be careful before ordering.",India,18 February 2024,work without graphic card careful order
Mr.GeAr,Reviewed in India on 7 April 2024,Best 👌 gaming and multitasking processor at the price of 12k for budget pc of of 80 k arround,India,7 April 2024,best game multitasking processor price k budget pc k arround
Joy Mukherjee,Reviewed in India on 28 January 2024,"It runs well for productivity tasks, 6 cores cpu is minimum requirement for smooth running any large software.",India,28 January 2024,run well productivity task core cpu minimum requirement smooth run large software
Sagar Jadhav,Reviewed in India on 30 November 2023,"Got at the cheapest price of 10250Rs in the sale. I was a bit worried about getting scammed since this Processor was never sold for this low price, but guess I was in luck. The performance is just as good as expected 😄",India,30 November 2023,get cheapest price r sale bit worried get scammed since processor never sell low price guess luck performance good expect
Asad Shirazi,Reviewed in India on 27 December 2023,"This is the king in Price-to-performance ratio.Paired with a 1660S, most games are giving me 90-100 FPS on high settings.",India,27 December 2023,king price performance ratio pair game give fps high setting
Vijay David,Reviewed in India on 14 November 2023,"This one has no graphics processing unit and hence if you use this without graphics card, the bios will not boot.Other than that this is an excellent processor",India,14 November 2023,one graphic processing unit hence use without graphic card bios boot excellent processor
Gautam Kumar,Reviewed in India on 18 November 2023,,India,18 November 2023,
ARUN,Reviewed in India on 24 April 2024,The processor was very power efficient i develop android apps and web development and for this the processor was beast and I do some little gaming with rx580 which combination was superb  with 5400mhz ddr5 memory 1 tb ssd . . .,India,24 April 2024,processor power efficient develop android apps web development processor beast little game rx combination superb mhz ddr memory tb ssd
Ayush,Reviewed in India on 14 May 2024,Try to get it under 10k and check the rankings in details sections before buying anything,India,14 May 2024,try get k check ranking detail section buying anything
Hruaia,Reviewed in India on 24 March 2024,"I upgrade from 9400f. The performance gain is a huge. I use cooler master hyper 212 with this and my cbinet have 3 intake 2 exhaust fan, Temp never cross 60°c even when full load stress test. The efficiency of this processor is incredible runs below 1.2 volt. It never reach 1.2v even when doing Multi core stress test.If you're building mid range PC for gaming purpose this is the cpu you should consider. At this price point there's nothing that can beat this processor.",India,24 March 2024,upgrade f performance gain huge use cooler master hyper cbinet intake exhaust fan temp never cross c even full load stress test efficiency processor incredible run volt never reach v even multi core stress test building mid range pc game purpose cpu consider price point nothing beat processor
Yavvari,Reviewed in India on 18 February 2024,"This will not work without graphic card, So be careful before ordering.",India,18 February 2024,work without graphic card careful order
Mr.GeAr,Reviewed in India on 7 April 2024,Best 👌 gaming and multitasking processor at the price of 12k for budget pc of of 80 k arround,India,7 April 2024,best game multitasking processor price k budget pc k arround
Joy Mukherjee,Reviewed in India on 28 January 2024,"It runs well for productivity tasks, 6 cores cpu is minimum requirement for smooth running any large software.",India,28 January 2024,run well productivity task core cpu minimum requirement smooth run large software
Sagar Jadhav,Reviewed in India on 30 November 2023,"Got at the cheapest price of 10250Rs in the sale. I was a bit worried about getting scammed since this Processor was never sold for this low price, but guess I was in luck. The performance is just as good as expected 😄",India,30 November 2023,get cheapest price r sale bit worried get scammed since processor never sell low price guess luck performance good expect
Asad Shirazi,Reviewed in India on 27 December 2023,"This is the king in Price-to-performance ratio.Paired with a 1660S, most games are giving me 90-100 FPS on high settings.",India,27 December 2023,king price performance ratio pair game give fps high setting
Vijay David,Reviewed in India on 14 November 2023,"This one has no graphics processing unit and hence if you use this without graphics card, the bios will not boot.Other than that this is an excellent processor",India,14 November 2023,one graphic processing unit hence use without graphic card bios boot excellent processor
Gautam Kumar,Reviewed in India on 18 November 2023,,India,18 November 2023,
Shivam s.,Reviewed in India on 10 October 2023,Box contents: Intel core i5 12400 processor chip and CPU fan/cooler. This processor is good for daily routine tasks but for heavy load usage and gaming go for the Intel core i5 13400 or 13500 processor.,India,10 October 2023,box content intel core processor chip cpu fan cooler processor good daily routine task heavy load usage game go intel core processor
Harisankar Sahoo,Reviewed in India on 26 March 2024,I am build my first pc this processor,India,26 March 2024,build first pc processor
Placeholder,Reviewed in India on 7 March 2024,I love this,India,7 March 2024,love
Amazon Customer,Reviewed in India on 17 July 2023,Good and efficient 👍,India,17 July 2023,good efficient
Dr. Abdul Azeez,Reviewed in India on 15 January 2024,Getting optimal speed without any overheating issue,India,15 January 2024,get optimal speed without overheat issue
Zainul,Reviewed in India on 27 January 2024,I received this product without any defects,India,27 January 2024,receive product without defect
Mehebub Alam,Reviewed in India on 25 October 2023,Super,India,25 October 2023,super
Mukesh Kumar gupta,Reviewed in India on 11 October 2023,Best deal rs.13200,India,11 October 2023,best deal r
GOA,Reviewed in India on 7 March 2023,"Ideal for regular work.I do some basic  photo and video editing too,  without any problems.Gamers / high end users should go for higher specs if the intention is higher usage.",India,7 March 2023,ideal regular work basic photo video edit without problem gamers high end user go high spec intention high usage
Anshul Nimboria,Reviewed in India on 26 December 2022,Very powerfull processor in this range u dont need saparate graphic card if you are on low end pc games...u have a option for gaming untill u use graphic card.....pavking is original and recieved unused favtory packed processor....,India,26 December 2022,powerfull processor range u dont need saparate graphic card low end pc game u option game untill u use graphic card pavking original recieved unused favtory packed processor
Sarvkar Trading,Reviewed in India on 18 February 2024,"Nice Product, value for money",India,18 February 2024,nice product value money
pankaj raman,Reviewed in India on 26 May 2021,I am not a gamer. I just bought for my software purpose like MATLAB & Python and programming.  This processor on msi b460m-a pro runs so smooth with wd 500gb ssd. It turns on within 3-5 seconds. Earlier it took 10min to 1hr to open my Matlab on pentium core 2 duo. But on this it starts within 10 seconds. What an improvement.  Highly recommend for students and academic works.,India,26 May 2021,gamer bought software purpose like matlab python program processor msi b pro run smooth wd gb ssd turn within second earlier take min hr open matlab pentium core duo start within second improvement highly recommend student academic work
Bijoy paul,Reviewed in India on 15 April 2024,Intel best processor,India,15 April 2024,intel best processor
Premjit,Reviewed in India on 15 November 2020,Amazing CPU for the price if you mainly like to game on your pc. this is the best value processor in the market right now.Ryzen 5 3600 processor is overpriced right now and not worth that price premium.Just get an z490 and 4000mhz ram and see high fps gaming on budget.I am using msi z490 a pro and hyperx predator ram.,India,15 November 2020,amaze cpu price mainly like game pc best value processor market right ryzen processor overprice right worth price premium get z mhz ram see high fps game budget use msi z pro hyperx predator ram
Tkroy,Reviewed in India on 6 June 2021,"Great value for money, but the stock chooler is inadequate, please buy a tower cooler to get the most out of this, it will get insanely hot if you don't get a good aftermarket cooler. Any time it hits 100% usage the temperature gets about 85°C and then thermal throttles.",India,6 June 2021,great value money stock chooler inadequate please buy tower cooler get get insanely hot get good aftermarket cooler time hit usage temperature get c thermal throttle
Ashish Rana,Reviewed in India on 8 November 2022,It the one of the processor which all in one,India,8 November 2022,one processor one
Kuldeep Aggarwal,Reviewed in India on 26 April 2021,"Product was installed in the computer. After working for 7-10 days it has stopped working. Now I am unable to get any information where should I approach. I contacted supplier he say talk to Amazon, I am yet to contact Amazon",India,26 April 2021,product instal computer work day stop work unable get information approach contact supplier say talk amazon yet contact amazon
Soumyaditya R.,Reviewed in India on 1 April 2023,SEAL BROKEN,India,1 April 2023,seal broken
